phi,Alice,CMS,ATLAS
-0.246667,0.0440343,0.0419393,0.0413342
-0.24,0.0443019,0.0421889,0.0415804
-0.233333,0.0445658,0.0424349,0.041823
-0.226667,0.0448256,0.0426772,0.042062
-0.22,0.0450813,0.0429157,0.0422972
-0.213333,0.0453327,0.04315,0.0425283
-0.206667,0.0455795,0.0433801,0.0427553
-0.2,0.0458215,0.0436058,0.0429779
-0.193333,0.0460586,0.0438268,0.0431959
-0.186667,0.0462906,0.0440431,0.0434093
-0.18,0.0465172,0.0442544,0.0436177
-0.173333,0.0467383,0.0444605,0.043821
-0.166667,0.0469536,0.0446612,0.044019
-0.16,0.047163,0.0448563,0.0442115
-0.153333,0.0473661,0.0450457,0.0443984
-0.146667,0.0475628,0.0452291,0.0445793
-0.14,0.047753,0.0454063,0.0447542
-0.133333,0.0479362,0.0455771,0.0449227
-0.126667,0.0481124,0.0457414,0.0450848
-0.12,0.0482814,0.0458988,0.0452401
-0.113333,0.0484428,0.0460493,0.0453886
-0.106667,0.0485964,0.0461925,0.04553
-0.1,0.0487422,0.0463284,0.045664
-0.0933333,0.0488797,0.0464566,0.0457905
-0.0866667,0.0490089,0.046577,0.0459094
-0.08,0.0491296,0.0466894,0.0460203
-0.0733333,0.0492414,0.0467937,0.0461232
-0.0666667,0.0493442,0.0468895,0.0462178
-0.06,0.0494379,0.0469768,0.046304
-0.0533333,0.0495222,0.0470554,0.0463815
-0.0466667,0.049597,0.0471252,0.0464504
-0.04,0.0496622,0.0471859,0.0465103
-0.0333333,0.0497176,0.0472376,0.0465613
-0.0266667,0.0497631,0.0472799,0.0466031
-0.02,0.0497985,0.047313,0.0466358
-0.0133333,0.0498239,0.0473367,0.0466591
-0.00666667,0.0498392,0.0473509,0.0466732
2.48239e-15,0.0498443,0.0473556,0.0466778
0.00666667,0.0498392,0.0473509,0.0466732
0.0133333,0.0498239,0.0473367,0.0466591
0.02,0.0497985,0.047313,0.0466358
0.0266667,0.0497631,0.0472799,0.0466031
0.0333333,0.0497176,0.0472376,0.0465613
0.04,0.0496622,0.0471859,0.0465103
0.0466667,0.049597,0.0471252,0.0464504
0.0533333,0.0495222,0.0470554,0.0463815
0.06,0.0494379,0.0469768,0.046304
0.0666667,0.0493442,0.0468895,0.0462178
0.0733333,0.0492414,0.0467937,0.0461232
0.08,0.0491296,0.0466894,0.0460203
0.0866667,0.0490089,0.046577,0.0459094
0.0933333,0.0488797,0.0464566,0.0457905
0.1,0.0487422,0.0463284,0.045664
0.106667,0.0485964,0.0461925,0.04553
0.113333,0.0484428,0.0460493,0.0453886
0.12,0.0482814,0.0458988,0.0452401
0.126667,0.0481124,0.0457414,0.0450848
0.133333,0.0479362,0.0455771,0.0449227
0.14,0.047753,0.0454063,0.0447542
0.146667,0.0475628,0.0452291,0.0445793
0.153333,0.0473661,0.0450457,0.0443984
0.16,0.047163,0.0448563,0.0442115
0.166667,0.0469536,0.0446612,0.044019
0.173333,0.0467383,0.0444605,0.043821
0.18,0.0465172,0.0442544,0.0436177
0.186667,0.0462906,0.0440431,0.0434093
0.193333,0.0460586,0.0438268,0.0431959
0.2,0.0458215,0.0436058,0.0429779
0.206667,0.0455795,0.0433801,0.0427553
0.213333,0.0453327,0.04315,0.0425283
0.22,0.0450813,0.0429157,0.0422972
0.226667,0.0448256,0.0426772,0.042062
0.233333,0.0445658,0.0424349,0.041823
0.24,0.0443019,0.0421889,0.0415804
0.246667,0.0440343,0.0419393,0.0413342
0.253333,0.0437631,0.0416863,0.0410847
0.26,0.0434884,0.0414301,0.0408321
0.266667,0.0432104,0.0411709,0.0405764
0.273333,0.0429294,0.0409087,0.0403179
0.28,0.0426454,0.0406438,0.0400567
0.286667,0.0423586,0.0403763,0.0397929
0.293333,0.0420693,0.0401063,0.0395267
0.3,0.0417775,0.0398341,0.0392582
0.306667,0.0414834,0.0395596,0.0389876
0.313333,0.0411871,0.0392832,0.038715
0.32,0.0408889,0.0390048,0.0384406
0.326667,0.0405887,0.0387247,0.0381644
0.333333,0.0402869,0.038443,0.0378867
0.34,0.0399835,0.0381598,0.0376075
0.346667,0.0396786,0.0378752,0.0373269
0.353333,0.0393725,0.0375893,0.0370451
0.36,0.0390651,0.0373023,0.0367622
0.366667,0.0387567,0.0370143,0.0364783
0.373333,0.0384474,0.0367254,0.0361935
0.38,0.0381372,0.0364357,0.0359079
0.386667,0.0378263,0.0361453,0.0356217
0.393333,0.0375149,0.0358544,0.0353349
0.4,0.0372029,0.0355629,0.0350476
0.406667,0.0368906,0.0352711,0.03476
0.413333,0.036578,0.034979,0.0344721
0.42,0.0362653,0.0346867,0.034184
0.426667,0.0359525,0.0343943,0.0338959
0.433333,0.0356397,0.034102,0.0336077
0.44,0.035327,0.0338096,0.0333196
0.446667,0.0350146,0.0335175,0.0330317
0.453333,0.0347025,0.0332256,0.032744
0.46,0.0343907,0.032934,0.0324567
0.466667,0.0340794,0.0326429,0.0321697
0.473333,0.0337687,0.0323522,0.0318833
0.48,0.0334586,0.032062,0.0315974
0.486667,0.0331492,0.0317725,0.0313121
0.493333,0.0328406,0.0314837,0.0310275
0.5,0.0325328,0.0311956,0.0307436
0.506667,0.0322259,0.0309083,0.0304605
0.513333,0.03192,0.0306219,0.0301783
0.52,0.0316152,0.0303365,0.0298971
0.526667,0.0313115,0.030052,0.0296168
0.533333,0.0310089,0.0297686,0.0293375
0.54,0.0307075,0.0294863,0.0290594
0.546667,0.0304075,0.0292051,0.0287824
0.553333,0.0301087,0.0289251,0.0285065
0.56,0.0298113,0.0286464,0.0282319
0.566667,0.0295154,0.028369,0.0279586
0.573333,0.0292209,0.0280929,0.0276866
0.58,0.028928,0.0278182,0.027416
0.586667,0.0286365,0.0275449,0.0271467
0.593333,0.0283467,0.0272731,0.0268789
0.6,0.0280586,0.0270027,0.0266126
0.606667,0.0277721,0.0267339,0.0263478
0.613333,0.0274873,0.0264666,0.0260845
0.62,0.0272043,0.026201,0.0258228
0.626667,0.026923,0.0259369,0.0255627
0.633333,0.0266435,0.0256745,0.0253042
0.64,0.0263659,0.0254138,0.0250474
0.646667,0.0260901,0.0251548,0.0247922
0.653333,0.0258163,0.0248975,0.0245388
0.66,0.0255443,0.0246419,0.024287
0.666667,0.0252742,0.0243881,0.024037
0.673333,0.0250062,0.0241361,0.0237888
0.68,0.0247401,0.0238859,0.0235424
0.686667,0.0244759,0.0236376,0.0232978
0.693333,0.0242138,0.0233911,0.023055
0.7,0.0239538,0.0231464,0.022814
0.706667,0.0236957,0.0229036,0.0225749
0.713333,0.0234397,0.0226627,0.0223376
0.72,0.0231858,0.0224237,0.0221022
0.726667,0.0229339,0.0221866,0.0218687
0.733333,0.0226842,0.0219515,0.0216371
0.74,0.0224365,0.0217182,0.0214073
0.746667,0.022191,0.0214869,0.0211795
0.753333,0.0219475,0.0212575,0.0209536
0.76,0.0217062,0.0210301,0.0207296
0.766667,0.021467,0.0208046,0.0205075
0.773333,0.0212299,0.0205811,0.0202874
0.78,0.0209949,0.0203595,0.0200692
0.786667,0.0207621,0.02014,0.019853
0.793333,0.0205314,0.0199223,0.0196386
0.8,0.0203028,0.0197067,0.0194262
0.806667,0.0200764,0.019493,0.0192158
0.813333,0.0198521,0.0192812,0.0190073
0.82,0.0196299,0.0190715,0.0188007
0.826667,0.0194099,0.0188637,0.0185961
0.833333,0.019192,0.0186578,0.0183933
0.84,0.0189762,0.018454,0.0181926
0.846667,0.0187625,0.018252,0.0179937
0.853333,0.018551,0.0180521,0.0177968
0.86,0.0183415,0.0178541,0.0176018
0.866667,0.0181342,0.017658,0.0174087
0.873333,0.0179289,0.0174638,0.0172175
0.88,0.0177257,0.0172716,0.0170282
0.886667,0.0175246,0.0170813,0.0168408
0.893333,0.0173256,0.016893,0.0166553
0.9,0.0171287,0.0167065,0.0164717
0.906667,0.0169338,0.016522,0.01629
0.913333,0.0167409,0.0163393,0.0161101
0.92,0.0165501,0.0161585,0.0159321
0.926667,0.0163613,0.0159796,0.0157559
0.933333,0.0161746,0.0158026,0.0155816
0.94,0.0159898,0.0156274,0.0154091
0.946667,0.015807,0.0154541,0.0152384
0.953333,0.0156262,0.0152826,0.0150696
0.96,0.0154474,0.015113,0.0149025
0.966667,0.0152706,0.0149451,0.0147372
0.973333,0.0150957,0.0147791,0.0145737
0.98,0.0149227,0.0146149,0.014412
0.986667,0.0147516,0.0144524,0.014252
0.993333,0.0145825,0.0142917,0.0140938
1,0.0144152,0.0141328,0.0139373
